COD_CLI;STATUS;IFIN1;IFIN2;IFIN3;IFIN4;IFIN5;IFIN6;IFIN7;IFIN8;IFIN9;IFIN10;FATLIQ;REST_TIPO_1;REST_TIPO_2;REST_TIPO_3;REST_TIPO_4;REST_TIPO_5;UF;IDADE;RAMO;NUM_SOCIOS
1801;MAU;1.50;92.14;0.00;;1.60;26.38;16.10;;0.00;0.00;797.56;0;0;0;0;12;SP;13;7;2
1802;BOM;17.60;466.12;22.20;0.00;0.60;27.67;8.15;-1057.00;-26.66;-1.00;781.86;0;0;1;0;13;SP;13;5;2
1803;BOM;2.20;357.72;0.00;0.00;1.40;14.46;4.15;-7323.40;46.25;6.00;788.14;0;0;0;0;0;MG;36;3;3
1804;MAU;5.50;476.96;41.44;0.90;0.80;12.22;-0.30;413.00;-23.33;-7.00;995.38;0;0;0;0;0;RJ;13;6;4
1805;MAU;19.50;0.00;0.00;0.00;0.20;23.19;4.40;-1869.00;2.50;0.00;1039.34;0;0;0;0;0;RJ;13;6;4
1806;BOM;0.70;303.52;0.00;0.00;3.50;12.51;-0.80;;5.41;10.00;854.08;1;0;2;0;0;SP;13;6;4
1807;BOM;459.10;22503.84;4.44;0.00;4.00;11.44;39.00;-2289.00;17.08;4.00;257.48;0;0;0;0;0;SP;13;5;2
1808;MAU;17.20;1149.04;78.44;1.13;1.60;11.92;-1.65;649.60;11.66;1.00;646.84;1;0;1;0;0;MG;31;4;2
1809;MAU;1.30;346.88;4.44;0.00;3.40;14.85;3.50;;1.66;0.00;5846.68;1;0;2;0;0;SP;23;4;4
1810;MAU;7.80;287.26;37.00;0.00;0.50;18.29;1.10;-569.80;-10.00;-1.00;1745.84;2;0;12;0;0;MG;24;3;2
1811;MAU;3.70;178.86;17.76;0.00;;14.71;1.25;-504.00;-8.75;-3.00;973.40;1;0;2;0;4;MG;23;3;2
1812;BOM;2.10;449.86;0.00;0.00;2.80;12.11;-0.05;-4587.80;8.33;2.00;904.32;0;0;0;0;0;RJ;23;4;2
1813;BOM;4.10;249.32;8.88;0.23;0.60;14.50;0.25;98.00;66.25;8.00;5256.36;1;0;0;0;0;MG;58;3;2
1814;MAU;246.60;12059.50;47.36;1.63;1.60;11.63;-9.15;747.60;4.16;0.00;398.78;15;0;0;0;0;RJ;23;4;2
1815;BOM;0.90;536.58;56.24;1.56;2.40;11.96;0.05;-267.40;-20.00;-1.00;326.56;0;0;0;0;0;RJ;22;6;2
1816;BOM;6.10;428.18;31.08;0.85;4.80;12.50;0.40;;-17.50;-8.00;948.28;2;0;0;0;0;MG;37;7;2
1817;BOM;1.30;314.36;0.00;0.00;2.00;12.80;0.35;;54.58;14.00;2414.66;0;0;0;0;0;MG;31;5;2
1818;BOM;0.60;336.04;0.00;0.00;3.90;12.59;0.85;-6018.60;16.25;7.00;1526.04;0;0;0;0;0;MG;31;5;2
1819;MAU;13.80;476.96;84.36;0.83;6.60;12.43;0.60;292.60;-29.16;-29.00;2110.08;0;0;0;0;0;MG;30;1;3
1820;BOM;2.90;325.20;10.36;0.00;4.60;12.48;-0.65;547.40;-5.00;-3.00;624.86;0;0;0;0;0;RJ;21;7;2
1821;BOM;20.80;1029.80;42.92;0.00;;12.46;2.60;445.20;-3.75;0.00;6584.58;0;0;1;0;0;MG;27;7;2
1822;MAU;0.40;547.42;39.96;0.00;;11.54;0.00;-432.60;-10.41;-1.00;1877.72;288;0;0;0;0;SP;26;5;2
1823;MAU;321.20;2130.06;35.52;2.16;;11.32;0.00;;110.00;242.00;420.76;94;3;9;0;0;MG;26;5;4
1824;BOM;6.40;287.26;37.00;0.00;12.30;12.08;0.05;294.00;-18.75;-12.00;3187.10;1;0;0;0;0;RJ;22;4;3
1825;BOM;7.70;509.48;115.44;0.00;1.00;11.73;1.00;;-37.50;-72.00;499.26;1;0;0;0;0;RJ;30;7;2
1826;MAU;0.60;449.86;0.00;0.00;0.90;12.51;1.45;-23317.00;5.83;1.00;571.48;0;0;0;0;0;MG;35;1;2
1827;MAU;3.20;444.44;34.04;0.39;1.50;14.18;-0.50;191.80;-2.91;0.00;1064.46;0;0;0;0;0;RJ;29;8;4
1828;MAU;6.90;466.12;68.08;0.00;29.20;11.84;1.80;-6441.40;-25.41;-34.00;2185.44;14;0;5;0;0;RJ;29;6;4
1829;BOM;46.00;2303.50;0.00;0.00;5.60;11.63;-6.60;834.40;4.16;5.00;480.42;0;0;0;0;0;RJ;26;6;4
1830;BOM;1.20;124.66;0.00;0.00;8.20;12.68;1.05;;9.16;4.00;854.08;0;0;0;0;0;MG;26;6;2
1831;BOM;1.70;384.82;0.00;0.00;3.40;12.67;-0.45;2815.40;-7.08;-4.00;3074.06;2;0;19;0;0;MG;35;4;4
1832;BOM;0.40;395.66;0.00;0.00;1.80;14.50;1.15;-1262.80;0.00;0.00;1397.30;0;0;0;0;0;RJ;26;1;2
1833;BOM;2.10;303.52;8.88;0.00;3.20;13.18;0.20;-1596.00;-2.50;-1.00;1139.82;2;0;0;0;0;MG;32;5;4
1834;BOM;1.80;330.62;0.00;0.00;3.00;13.00;0.45;;216.25;15.00;1108.42;0;0;0;0;0;MG;37;7;4
1835;MAU;6.10;617.88;96.20;0.00;7.30;11.63;0.05;18.20;-19.58;-17.00;2342.44;9;0;7;0;0;RJ;25;6;4
1836;BOM;8.10;753.38;87.32;2.25;0.40;11.72;-1.00;971.60;-47.50;-14.00;976.54;3;0;16;0;0;RJ;25;7;3
1837;MAU;28.30;1100.26;108.04;0.41;9.10;12.86;5.05;442.40;-45.41;-22.00;2565.38;10;0;5;0;0;MG;38;4;2
1838;BOM;0.30;140.92;0.00;0.00;4.20;12.28;0.45;-11194.40;62.91;37.00;3639.26;0;0;0;0;0;MG;25;4;4
1839;BOM;10.30;905.14;0.00;0.00;30.10;11.31;-0.75;47152.00;2.08;10.00;182.12;0;0;0;0;0;MG;30;2;2
1840;MAU;19.80;249.32;34.04;0.00;7.00;13.39;0.35;-687.40;-9.58;-8.00;763.02;69;0;2;0;17;RJ;33;3;4
1841;BOM;5.00;222.22;0.00;0.00;1.40;12.75;1.55;;-319.58;30.00;4242.14;0;0;1;0;0;MG;47;4;2
1842;BOM;5.80;162.60;0.00;0.00;2.70;13.92;7.95;-315.00;-12.91;-8.00;4245.28;0;0;0;0;16;MG;27;6;2
1843;BOM;2.80;428.18;8.88;0.00;4.00;12.53;1.10;93.80;13.33;4.00;3231.06;0;0;1;0;0;MG;27;5;2
1844;BOM;4.40;189.70;14.80;0.00;5.60;14.14;3.30;-3494.40;-12.08;-6.00;1161.80;0;1;0;0;0;MG;27;8;2
1845;MAU;6.50;693.76;156.88;0.51;1.00;12.24;1.60;-931.00;-81.25;-21.00;1391.02;8;0;0;0;0;RJ;27;2;3
1846;BOM;18.00;688.34;59.20;0.00;2.60;14.39;2.20;196.00;-46.25;-0.84;822.68;0;1;1;0;0;RJ;27;3;3
1847;BOM;0.20;520.32;0.00;0.00;4.00;11.46;0.15;-1013.60;7.50;-1.26;241.78;0;0;0;0;0;RJ;24;2;2
1848;MAU;1.00;482.38;4.44;0.05;6.50;11.83;-0.05;2356.20;-0.83;1.68;2254.52;2;0;1;0;0;RJ;45;7;4
1849;MAU;0.20;460.70;0.00;0.00;4.90;11.93;0.25;;22.50;-3.78;1328.22;2;0;0;0;0;RJ;27;3;2
1850;BOM;35.50;1479.66;159.84;0.00;2.60;13.49;4.15;609.00;-65.41;-0.84;1927.96;1;1;4;0;0;RJ;32;3;2
1851;MAU;16.40;688.34;121.36;0.00;6.70;12.22;0.00;295.40;-40.00;3.36;3121.16;169;0;2;0;0;RJ;39;1;2
1852;MAU;2.10;178.86;0.00;0.00;1.60;14.04;0.25;-2342.20;60.41;0.84;1384.74;3;0;1;0;0;RJ;39;4;4
1853;BOM;0.40;520.32;0.00;0.00;2.10;11.60;0.05;-6008.80;-160.41;-0.42;141.30;14;0;42;0;0;RJ;51;7;2
1854;MAU;0.70;514.90;10.36;0.00;2.80;11.89;0.05;-113.40;44.58;-0.84;244.92;1;0;3;0;0;RJ;23;8;2
1855;MAU;0.90;395.66;8.88;0.00;5.40;12.83;0.50;;0.83;-1.26;920.02;3;0;8;0;0;RJ;23;2;4
1856;MAU;7.60;639.56;32.56;0.41;2.80;12.69;-0.55;628.60;-41.25;-2.10;1102.14;5;0;0;0;0;RJ;32;4;3
1857;MAU;65.30;1788.60;108.04;0.00;3.80;13.81;2.90;88.20;-34.58;0.00;1190.06;1;0;0;0;0;RJ;23;1;4
1858;MAU;27.80;1279.12;16.28;0.00;;12.03;0.20;6078.80;-7.91;2.52;411.34;1;0;0;0;0;RJ;30;5;4
1859;BOM;15.00;1116.52;0.00;0.00;3.20;11.44;-2.60;1083.60;166.25;-0.84;122.46;3;0;0;0;0;MG;23;6;2
1860;MAU;15.70;563.68;118.40;0.00;7.00;14.81;-2.20;168.00;-34.58;-1.26;5033.42;7;1;0;0;0;RJ;39;4;2
1861;BOM;0.60;162.60;0.00;0.00;7.10;12.09;1.20;-6311.20;39.16;-4.20;1080.16;0;0;0;0;0;RJ;40;5;4
1862;MAU;2.70;509.48;4.44;0.00;5.80;11.92;1.20;-352.80;58.33;5.04;2537.12;2;0;2;0;0;MG;23;6;3
1863;MAU;7.90;558.26;34.04;0.76;2.20;14.28;0.20;169.40;-4.16;2.10;1102.14;0;0;0;0;0;RJ;29;2;2
1864;BOM;0.40;70.46;0.00;0.00;0.20;16.43;1.55;-41872.60;13.33;-13.02;1482.08;0;0;0;0;0;RJ;41;6;2
1865;BOM;42.70;769.64;26.64;2.30;5.50;13.17;-3.40;;-29.16;-2.10;2998.70;0;0;0;0;0;MG;27;8;3
1866;BOM;12.40;308.94;0.00;0.00;0.80;14.64;0.25;-7029.40;-3.33;-0.84;825.82;0;0;0;0;0;RJ;28;4;4
1867;BOM;18.10;1246.60;187.96;0.00;1.20;11.68;-0.90;709.80;-88.33;-1.26;2461.76;1;0;6;0;0;MG;29;5;3
1868;MAU;191.50;1387.52;118.40;2.30;2.20;12.97;-6.50;348.60;-45.41;100.80;816.40;12;0;0;0;0;MG;38;1;2
1869;BOM;;;25.16;0.00;2.60;11.46;-2.90;765.80;39.16;-5.88;153.86;10;0;5;0;0;MG;47;6;4
1870;BOM;2.60;308.94;0.00;0.00;2.10;13.73;0.80;;-1.25;-31.08;5510.70;0;0;1;0;0;MG;46;7;3
1871;BOM;18.90;1105.68;90.28;0.00;0.60;12.81;-2.75;904.40;-179.58;-0.42;910.60;53;2;23;0;0;MG;41;5;3
1872;MAU;2.90;607.04;93.24;0.30;24.00;11.38;0.25;91.00;-24.16;-0.84;929.44;18;1;3;0;0;MG;39;4;4
1873;MAU;209.30;2054.18;106.56;0.00;;13.10;-8.65;749.00;-42.08;-15.12;737.90;6;0;2;0;0;RJ;27;2;4
1874;MAU;23.50;975.60;19.24;0.00;;11.51;1.50;1201.20;-167.91;1.26;216.66;27;1;19;0;0;RJ;38;3;2
1875;BOM;4.80;476.96;34.04;0.00;2.40;12.86;-0.55;620.20;-23.75;0.84;4863.86;1;0;7;0;0;RJ;42;7;2
1876;MAU;0.90;449.86;11.84;0.00;;15.01;0.30;-1188.60;26.66;-2.52;1136.68;3;0;3;0;0;RJ;36;4;4
1877;BOM;2.40;536.58;100.64;0.05;2.80;11.98;-0.75;742.00;-35.00;-0.84;1067.60;0;0;1;0;0;MG;26;3;2
1878;MAU;11.90;720.86;103.60;2.09;3.80;13.08;0.30;273.00;-98.33;-1.26;665.68;1;0;0;0;0;MG;31;6;2
1879;BOM;7.60;590.78;0.00;0.00;7.20;12.20;0.40;266.00;-1.66;5.46;1469.52;0;0;0;0;1;MG;25;7;4
1880;MAU;1.00;205.96;0.00;0.00;30.00;11.55;1.95;-15933.40;204.16;-7.98;1598.26;0;0;0;0;0;MG;35;7;4
1881;MAU;5.10;661.24;14.80;0.35;2.60;11.89;0.10;723.80;-5.00;-6.72;357.96;11;0;3;0;0;MG;59;5;4
1882;BOM;0.60;439.02;0.00;0.00;1.70;11.91;0.75;-2367.40;59.16;-10.08;348.54;1;0;0;0;0;MG;60;1;4
1883;MAU;4.30;623.30;81.40;0.55;0.50;12.25;4.10;474.60;-85.00;14.70;4213.88;11;0;10;0;0;MG;79;3;4
1884;BOM;4.30;460.70;0.00;0.00;2.40;12.85;1.10;-285.60;37.91;3.36;2596.78;2;0;2;0;0;MG;46;5;3
1885;BOM;1.70;211.38;16.28;0.00;7.90;13.33;0.95;-9185.40;-5.83;-4.20;4050.60;6;0;3;0;0;RJ;24;1;3
1886;BOM;1.40;113.82;32.56;0.00;7.00;11.75;0.50;;-49.16;11.76;894.90;1;0;1;0;7;MG;46;8;3
1887;BOM;6.70;357.72;139.12;0.00;13.10;12.03;1.25;305.20;-40.83;-4.20;492.98;0;0;5;0;0;MG;24;4;3
1888;MAU;7.30;677.50;39.96;0.00;0.40;12.71;0.55;644.00;-101.25;0.84;4235.86;1;0;3;0;0;MG;37;1;2
1889;BOM;4.50;260.16;20.72;0.51;2.40;13.76;1.80;-3119.20;15.83;-3.36;1673.62;1;0;1;0;0;MG;37;3;2
1890;BOM;10.00;769.64;50.32;0.00;1.70;12.86;0.50;385.00;-68.75;-9.66;2439.78;2;0;0;0;0;MG;22;5;4
1891;MAU;1.20;390.24;35.52;0.00;1.90;12.42;-0.10;-568.40;-4.16;-4.62;543.22;2;0;1;0;0;RJ;40;5;3
1892;BOM;15.70;466.12;96.20;0.00;6.60;12.48;0.15;-3565.80;-34.16;0.00;568.34;0;0;0;0;0;MG;37;4;4
1893;MAU;57.60;1067.74;88.80;0.37;5.00;12.84;-0.35;564.20;-42.50;-0.84;750.46;67;0;1;0;24;MG;22;4;3
1894;BOM;10.50;856.36;96.20;0.00;3.80;11.79;-0.35;641.20;-38.33;2.10;3334.68;173;0;72;0;0;RJ;22;8;2
1895;BOM;9.80;710.02;25.16;0.00;3.60;13.06;0.45;369.60;42.08;-7.56;1818.06;0;0;2;0;0;RJ;71;4;4
1896;MAU;48.40;3094.82;167.24;;25.70;11.24;-1.20;704.20;65.41;-17.64;109.90;0;0;0;0;60;RJ;25;3;2
1897;BOM;3.60;476.96;0.00;0.00;4.20;12.22;0.00;498.40;0.83;3.78;722.20;1;0;0;0;0;RJ;33;4;2
1898;BOM;2.50;439.02;0.00;0.00;18.80;12.11;0.85;-7114.80;9.58;4.62;2069.26;0;0;0;0;0;RJ;34;8;2
1899;MAU;72.10;4276.38;766.64;1.63;;11.42;-5.80;662.20;111.66;0.84;292.02;0;0;2;2;0;RJ;38;5;2
1900;MAU;4801.10;213759.38;69.56;2.00;4.50;11.82;;669.20;-38.75;-0.84;392.50;3;0;1;0;0;RJ;27;3;2
1901;MAU;28.40;1338.74;149.48;2.30;8.80;12.13;-3.65;494.20;-52.08;-3.36;527.52;0;0;0;0;0;RJ;26;4;2
1902;MAU;12.10;845.52;143.56;0.00;5.60;12.50;-0.05;554.40;-70.83;-3.36;985.96;15;3;2;1;24;RJ;24;3;4
1903;MAU;11.60;905.14;79.92;0.74;6.30;12.17;1.50;-3858.40;-32.50;-3.36;697.08;4;4;19;0;0;RJ;24;1;3
1904;MAU;5.40;373.98;142.08;0.00;5.30;11.71;0.45;765.80;100.41;24.36;3105.46;12;0;1;0;0;RJ;22;5;2
1905;MAU;2.00;227.64;5.92;0.00;7.20;12.80;-0.40;-3185.00;-3.33;-5.88;728.48;1;0;1;0;0;RJ;41;5;4
1906;MAU;;;0.00;0.00;0.30;13.39;-14.40;943.60;-99.58;4.20;744.18;4;0;4;0;0;RJ;54;6;2
1907;MAU;2.00;585.36;45.88;0.00;2.30;11.60;-0.45;1033.20;-165.83;-0.84;395.64;86;10;40;0;0;RJ;41;5;4
1908;MAU;0.80;569.10;87.32;;3.20;11.44;-0.65;;26.25;-0.84;210.38;0;0;0;0;61;RJ;22;4;3
1909;MAU;5.80;704.60;152.44;0.00;1.60;12.18;0.00;501.20;-133.75;0.42;326.56;0;0;0;20;0;RJ;29;5;3
1910;MAU;18.70;617.88;22.20;0.00;6.70;11.61;-0.20;616.00;5.83;-2.10;1281.12;1;0;0;0;0;RJ;29;8;2
1911;MAU;31.10;861.78;20.72;0.00;1.40;14.28;5.20;-134.40;-8.33;-0.84;2358.14;2;0;0;0;5;RJ;37;2;2
